Reading,Pattern,Triennial Cycle`,Aliyah 1,Aliyah 2,Aliyah 3,Aliyah 4,Aliyah 5,Aliyah 6,Aliyah 7,Maftir
Vayakhel,A,3,Exodus 35:1-35:3,Exodus 35:4-35:10,Exodus 35:11-35:20,Exodus 35:21-35:29,Exodus 35:30-35:35,Exodus 36:1-36:7,Exodus 36:8-36:19,Exodus 36:17-36:19
Pekudei,A,3,Exodus 39:22-39:26,Exodus 39:27-39:32,Exodus 39:33-39:43,Exodus 40:1-40:8,Exodus 40:9-40:16,Exodus 40:17-40:27,Exodus 40:28-40:38,Exodus 40:34-40:38
Vayakhel,B,2,Exodus 37:17-37:19,Exodus 37:20-37:24,Exodus 37:25-37:29,Exodus 38:1-38:3,Exodus 38:4-38:8,Exodus 38:9-38:15,Exodus 38:16-38:20,Exodus 38:18-38:20
Pekudei,B,2,Exodus 38:21-38:23,Exodus 38:24-38:27,Exodus 38:28-39:1,Exodus 39:2-39:7,Exodus 39:8-39:14,Exodus 39:15-39:18,Exodus 39:19-39:21,Exodus 39:19--39:21
Vayakhel,C,2,Exodus 35:1-35:3,Exodus 35:4-35:10,Exodus 35:11-35:20,Exodus 35:21-35:29,Exodus 35:30-35:35,Exodus 36:1-36:7,Exodus 36:8-36:19,Exodus 36:17-36:19
Pekudei,C,2,Exodus 38:21-38:23,Exodus 38:24-38:27,Exodus 38:28-39:1,Exodus 39:2-39:7,Exodus 39:8-39:14,Exodus 39:15-39:18,Exodus 39:19-39:21,Exodus 39:19--39:21
Vayakhel,C,3,Exodus 36:20-36:30,Exodus 36:31-36:38,Exodus 37:1-37:16,Exodus 37:17-37:24,Exodus 37:25-37:29,Exodus 38:1-38:8,Exodus 38:9-38:20,Exodus 38:18-38:20
Pekudei,C,3,Exodus 39:22-39:26,Exodus 39:27-39:32,Exodus 39:33-39:43,Exodus 40:1-40:8,Exodus 40:9-40:16,Exodus 40:17-40:27,Exodus 40:28-40:38,Exodus 40:34-40:38
Vayakhel,D,1,Exodus 35:1-35:3,Exodus 35:4-35:10,Exodus 35:11-35:20,Exodus 35:21-35:29,Exodus 35:30-35:35,Exodus 36:1-36:7,Exodus 36:8-36:19,Exodus 36:17-36:19
Pekudei,D,1,Exodus 38:21-38:23,Exodus 38:24-38:27,Exodus 38:28-39:1,Exodus 39:2-39:7,Exodus 39:8-39:14,Exodus 39:15-39:18,Exodus 39:19-39:21,Exodus 39:19--39:21
Vayakhel,D,2,Exodus 36:20-36:30,Exodus 36:31-36:38,Exodus 37:1-37:16,Exodus 37:17-37:24,Exodus 37:25-37:29,Exodus 38:1-38:8,Exodus 38:9-38:20,Exodus 38:18-38:20
Pekudei,D,2,Exodus 39:22-39:26,Exodus 39:27-39:32,Exodus 39:33-39:43,Exodus 40:1-40:8,Exodus 40:9-40:16,Exodus 40:17-40:27,Exodus 40:28-40:38,Exodus 40:34-40:38
Vayakhel,E,1,Exodus 35:1-35:3,Exodus 35:4-35:10,Exodus 35:11-35:20,Exodus 35:21-35:29,Exodus 35:30-35:35,Exodus 36:1-36:7,Exodus 35:30-35:35,Exodus 36:17-36:19
Pekudei,E,1,Exodus 38:21-38:23,Exodus 38:24-38:27,Exodus 38:28-39:1,Exodus 39:2-39:7,Exodus 39:8-39:14,Exodus 39:15-39:18,Exodus 39:19-39:21,Exodus 39:19--39:21
Vayakhel,E,3,Exodus 36:20-36:30,Exodus 36:31-36:38,Exodus 37:1-37:16,Exodus 37:17-37:24,Exodus 37:25-37:29,Exodus 38:1-38:8,Exodus 38:9-38:20,Exodus 38:18-38:20
Pekudei,E,3,Exodus 39:22-39:26,Exodus 39:27-39:32,Exodus 39:33-39:43,Exodus 40:1-40:8,Exodus 40:9-40:16,Exodus 40:17-40:27,Exodus 40:28-40:38,Exodus 40:34-40:38
Vayakhel,F,1,Exodus 35:1-35:10,Exodus 35:11-35:20,Exodus 35:21-35:29,Exodus 35:30-36:7,Exodus 36:8-36:19,Exodus 36:20-36:38,Exodus 37:1-37:16,Exodus 37:10-37:16
Pekudei,F,1,Exodus 38:21-38:23,Exodus 38:24-38:27,Exodus 38:28-39:1,Exodus 39:2-39:7,Exodus 39:8-39:14,Exodus 39:15-39:18,Exodus 39:19-39:21,Exodus 39:19--39:21
Tazria,A,3,Leviticus 12:1-12:4,Leviticus 12:5-12:8,Leviticus 13:1-13:5,Leviticus 13:6-13:8,Leciticus 13:9-13:17,Leviticus 13:18-13:23,Leviticus 13:24-13:28,Leviticus 13:26-13:28
Metzora,A,3,Leviticus 14:33-14:38,Leviticus 14:39-14:47,Leviticus 14:48-14:53,Leviticus 14:54-15:7,Leviticus 15:8-15:15,Leviticus 15:16-15:28,Leviticus 15:29-15:33,Leviticus 15:31-15:33
Tazria,B,2,Leviticus 13:29-13:24,Leviticus 13:35-13:39,Leviticus 13:40-13:42,Leviticus 13:43-13:46,Leviticus 13:47-13:50,Leviticus 13:51-13:54,Leviticus 13:55-13:59,Leviticus 13:57-13:59
Metzora,B,2,Leviticus 14:1-14:5,Leviticus 14:6-14:9,Leviticus 14:10-14:12,Leviticus 14:13-14:15,Leviticus 14:16-14:20,Leviticus 14:21-14:25,Leviticus 14:26-24:32,Leviticus 14:30-14:32
Tazria,C,1,Leviticus 12:1-12:4,Leviticus 12:5-12:8,Leviticus 13:1-13:5,Leviticus 13:6-13:17,Leviticus 13:18-13:23,Leviticus 13:24-13:28,Leviticus 13:29-13:39,Leviticus 13:37-13:39
Metzora,C,1,Leviticus 14:1-14:5,Leviticus 14:6-14:9,Leviticus 14:10-14:12,Leviticus 14:13-14:15,Leviticus 14:16-14:20,Leviticus 14:21-14:25,Leviticus 14:26-24:32,Leviticus 14:30-14:32
Tazria,D,1,Leviticus 12:1-12:4,Leviticus 12:5-12:8,Leviticus 13:1-13:5,Leviticus 13:6-13:8,Leciticus 13:9-13:17,Leviticus 13:18-13:23,Leviticus 13:24-13:28,Leviticus 13:26-13:28
Metzora,D,1,Leviticus 14:1-14:5,Leviticus 14:6-14:9,Leviticus 14:10-14:12,Leviticus 14:13-14:15,Leviticus 14:16-14:20,Leviticus 14:21-14:25,Leviticus 14:26-24:32,Leviticus 14:30-14:32
