Reading,Aliyah 1,Aliyah 2,Aliyah 3,Aliyah 4,Aliyah 5,Aliyah 6,Aliyah 7,Maftir,Haftarah
Rosh Hashana,Genesis 21:1-21:4,Genesis 21:5-21:12,Genesis 21:12-21:21,Genesis 21:22-21:27,Genesis 21:27-21:34,null,null,Numbers 29:1-29:6,I Samuel 1:1-2:10
Rosh Hashana Shabbat,Genesis 21:1-21:4,Genesis 21:5-21:8,Genesis 21:9-21:12,Genesis 21:13-21:17,Genesis 21:18-21:21,Genesis 21:22-21:27,Genesis 21:28-21:34,Numbers 29:1-29:6,I Samuel 1:1-2:10
Rosh Hashana II,Genesis 22:1-22:3,Genesis 22:4-22:8,Genesis 22:9-22:14,Genesis 22:15- 22:19,Genesis 22:20-22:24,null,null,Numbers 29:1-29:6,Jeremiah 31:2-20
Yom Kippur,Leviticus 16:1-16:6,Leviticus 16:7-16:11,Leviticus 16:12-16:17,Leviticus 16:18-16:24,Leviticus 16:25-16:30,Leviticus 16:31-16:34,null,Numbers 29:7-29:11,Isaiah 57:14-58:14
Yom Kippur Shabbat,Leviticus 16:1-16:3,Leviticus 16:4-16:6,Leviticus 16:7-16:11,Leviticus 16:12-16:17,Leviticus 16:18-16:24,Leviticus 16:25-16:30,Leviticus 16:31-16:34,Numbers 29:7-29:11,Isaiah 57:14-58:14
Sukkot I,Leviticus 22:26-23:3,Leviticus 23:4-23:14,Leviticus 23:15-23:22,Leviticus 23:23-23:32,Leviticus 23:33-23:44,null,null,Numbers 29:12-29:16,Zechariah 14:1-14:21
Sukkot I Shabbat,Leviticus 22:26-22:33,Leviticus 23:1-23:3,Leviticus 23:4-23:8,Levticus 23:9-23:14,Leviticus 23:15-23:22,Leviticus 23:23-23:32,Leviticus 23:33-23:44,Numebrs 29:12-29:16,Zechariah 14:1-14:21
Sukkot II,Leviticus 22:26-23:3,Leviticus 23:4-23:14,Leviticus 23:15-23:22,Leviticus 23:23-23:32,Leviticus 23:33-23:44,null,null,Numbers 29:12-29:16,I Kings 8:2-8:21
Sukkot Chol HaMoed Shabbat,Exodus 33:12-33:16,Exodus 33:17-33:19,Exodus 33:20-33:23,Exodus 34:1-34:3,Exodus 34:4-34:10,Exodus 34:11-34:17,Exodus 34:18-34:26,Numbers 29:17-29:22,Ezekiel 38:18-39:16
Shmini Atzeret,Deuteronomy 14:22-14:29,Deuteronomy 15:1-15:18,Deuteronomy 15:19-16:3,Deuteronomy 16:4-16:8,Deuteronomy 16:9-16:17,null,null,Numbers 29:35-30:1,I Kings 8:54-8:66
Shmini Atzeret Shababt,Deuteronomy 14:22-14:29,Deuteronomy 15:1-15:18,Deuteronomy 15:19-15:23,Deuteronomy 16:1-16:3,Deuteronomy 16:4-16:8,Deuteronomy 16:9-16:12,Deuteronomy 16:13-16:17,Numbers 29:35-30:1,I Kings 8:54-8:66
Simchat Torah,Deuteronomy 33:1-33:7,Deuteronomy 33:8-33:12,Deuteronomy 33:13-33:17,Deuteronomy 33:18-33:21,Deuteronomy 33:22-33:26,Deuteronomy 33:27-34:12,Genesis 1:1-2:3,Numbers 29:35-30:1,Joshua 1:1-1:18
Simchat Torah Shabbat,Deuteronomy 33:1-33:7,Deuteronomy 33:8-33:12,Deuteronomy 33:13-33:17,Deuteronomy 33:18-33:21,Deuteronomy 33:22-33:26,Deuteronomy 33:27-34:12,Genesis 1:1-2:3,Numbers 29:35-30:1,Joshua 1:1-1:18
Chanukah I Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:1-7:17,Zechariah 2:14-4:7
Chanukah II Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:18-7:23,Zechariah 2:14-4:7
Chanukah III Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:24-7:29,Zechariah 2:14-4:7
Chanukah IV Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:30-7:35,Zechariah 2:14-4:7
Chanukah V Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:36-7:41,Zechariah 2:14-4:7
Chanukah VII Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:48-7:53,Zechariah 2:14-4:7
Chanukah VII Shabbat Rosh Chodesh,ref,ref,ref,ref,ref,ref,Numbers 28:9-28:15,Numbers 7:42-7473,Zechariah 2:14-4:7
Chanukah VIII Shabbat,ref,ref,ref,ref,ref,ref,ref,Numbers 7:54-8:4,I Kings 7:40-7:50
Pesach I,Exodus 12:21-12:24,Exodus 12:25-12:28,Exodus 12:29-12:36,Exodus 12:37-12:42,Exodus 12:43-12:51,null,null,Numbers 28:16-28:25,Joshua 3:5-3:7; 5:2-6:1; 6:27
Pesach I Shababt,Exodus 12:21-12:24,Exodus 12:26-12:28,Exodus 12:29-12:32,Exodus 12:33-12:36,Exodus 12:37-12:42,Exodus 12:43-12:47,Exodus 12:43-12:51,Numbers 28:16-28:25,Joshua 3:5-3:7; 5:2-6:1; 6:27
Pesach II,Leviticus 22:26-23:3,Leviticus 23:4-23:14,Leviticus 23:15-23:22,Leviticus 23:23-23:32,Leviticus 23:33-23:44,null,null,Numbers 28:16-28:25,II Kings 23:1-23:9; 23:21-23:25
Pesach Chol HaMoed Shabbat,Exodus 33:12-33:16,Exodus 33:17-33:19,Exodus 33:20-33:23,Exodus 34:1-34:3,Exodus 34:4-34:10,Exodus 34:11-34:17,Exodus 34:18-34:36,Numbers 28:19-28:25,Ezekiel 37:1-37:14
