,Year 1,,,,,,,,Year 2,,,,,,,,Year 3,,,,,,,
Reading,Aliyah 1,Aliyah 2,Aliyah 3,Aliyah 4,Aliyah 5,Aliyah 6,Aliyah 7,Maftir,Aliyah 1,Aliyah 2,Aliyah 3,Aliyah 4,Aliyah 5,Aliyah 6,Aliyah 7,Maftir,Aliyah 1,Aliyah 2,Aliyah 3,Aliyah 4,Aliyah 5,Aliyah 6,Aliyah 7,Maftir
Bereshit,Genesis 1:1-1:5,Genesis 1:6-1:8,Genesis 1:9-1:13,Genesis 1:14-1:19,Genesis 1:20-1:23,Genesis 1:24-1:31,Genesis 2:1-2:3,Genesis 2:1-2:3,Genesis 2:4-2:9,Genesis 2:10-2:19,Genesis 2:20-2:25,Genesis 3:1-3:21,Genesis 3:22-3:24,Genesis 4:1-4:18,Genesis 4:19-4:26,Genesis 4:23-4:26,Genesis 5:1-5:5,Genesis 5:6-5:8,Genesis 5:9-5:14,Genesis 5:15-5:20,Genesis 5:21-5:24,Genesis 5:25-5:31,Genesis 5:32-6:8,Genesis 6:5-6:8
Noach,Genesis 6:9-6:16,Genesis 6:17-6:19,Genesis 6:20-6:22,Genesis 7:1-7:9,Genesis 7:10-7:16,Genesis 7:17-7:24,Genesis 8:1-8:14,Genesis 8:12-8:14,Genesis 8:15-8:22,Genesis 9:1-9:7,Genesis 9:8-9:17,Genesis 9:18-9:29,Genesis 10:1-10:14,Genesis 10:15-10:20,Genesis 10:21-10:32,Genesis 10:26-10:32,Genesis 11:1-11:4,Genesis 11:5-11:9,Genesis 11:10-11:13,Genesis 11:14-11:17,Genesis 11:18-11:21,Genesis 11:22-11:25,Genesis 11:26-11:32,Genesis 11:29-11:32
Lech-Lecha,Genesis 12:1-12:3,Genesis 12:4-12:9,Genesis 12:10-12:13,Genesis 12:14-12:20,Genesis 13:1-13:4,Genesis 13:5-13:11,Genesis 13:12-13:18,Gnesis 13:16-13:18,Genesis 14:1-14:9,Genesis 14:10-14:16,Genesis 14:17-14:20,Genesis 14:21-14:24,Genesis 15:1-15:6,Genesis 15:7-15:16,Genesis 15:17-15:21,Genesis 15:17-15:21,Genesis 16:1-16:6,Genesis 16:7-16:9,Genesis 16:10-16:16,Genesis 17:1-17:6,Genesis 17:7-17:17,Genesis 17:18-17:23,Genesis 17:24-17:27,Genesis 17:24-17:27
Vayera,Genesis 18:1-18:5,Genesis 18:6-18:8,Genesis 18:9-18:14,Genesis 18:16-18:21,Genesis 18:22-18:26,Genesis 18:27-18:30,Genesis 18:31-18:33,Genesis 18:31-18:33,Genesis 19:1-19:11,Genesis 19:12-19:20,Genesis 19:21-19:29,Genesis 19:30-19:38,Genesis 20:1-20:8,Genesis 20:9-20:14,Genesis 20:15-20:18,Genesis 20:15-20:18,Genesis 21:1-21:4,Genesis 21:5-21:13,Genesis 21:14-21:21,Genesis 21:22-21:32,Genesis 22:1-22:8,Genesis 22:9-22:19,Genesis 22:22-22:24,Genesis 22:20-22:24
Chayei Sara,Genesis 23:1-23:4,Genesis 23:5-23:7,Genesis 23:8-23:12,Genesis 23:13-23:16,Genesis 23:17-23:20,Genesis 24:1-24:4,Genesis 24:5-24:9,Genesis 24:5-24:9,Genesis 24:10-24:14,Genesis 24:15-24:20,Genesis 24:21-24:26,Genesis 24:27-24:33,Genesis 24:34-24:41,Genesis 24:42-24:49,Genesis 24:50-24:52,Genesis 24:50-24:52,Genesis 24:53-24:58,Genesis 24:59-24:61,Genesis 24:62-24:67,Genesis 25:1-25:6,Genesis 25:7-25:11,Genesis 25:12-25:15,Genesis 25:16-25:18,Genesis 25:15-25:18
Toldot,Genesis 25:19-25:22,Genesis 25:23-25:26,Genesis 25:27-25:34,Genesis 26:1-26:5,Genesis 26:6-26:12,Genesis 26:13-26:16,Genesis 26:17-26:22,Genesis 26:19-26:22,Genesis 26:23-26:29,Genesis 26:30-26:33,Genesis 26:34-27:4,Genesis 27:5-27:13,Genesis 27:14-27:17,Genesis 27:18-27:23,Genesis 27:24-27:27,Genesis 27:24-27:27,27:28-27:30,Genesis 27:31-27:33,Genesis 27:34-27:37,Genesis 27:38-27:40,Genesis 27:41-27:46,Genesis 28:1-28:4,Genesis 28:5-28:9,Genesis 28:7-28:9
Vayetzei,Genesis 28:10-28:12,Genesis 28:13-28:17,Genesis 28:18-28:22,Genesis 29:1-29:8,Genesis 29:9-29:17,Genesis 29:18-29:33,Genesis 29:34-30:13,Genesis 30:9-30:13,Genesis 30:14-30:16,Genesis 30:17-30:21,Genesis 30:22-30:27,Genesis 30:28-30:36,Genesis 30:37-30:43,Genesis 31:1-31:9,Genesis 31:10-31:16,Genesis 31:14-31:16,Genesis 31:17-31:21,Genesis 31:22-31:24,Genesis 31:25-31:35,Genesis 31:36-31:42,Genesis 31:43-31:45,Genesis 31:46-31:50,Genesis 31:51-32:3,Genesis 32:1-32:3
Vayishlach,Genesis 32:4-32:6,Genesis 32:7-32:9,Genesis 32:10-32:13,Genesis 32:14-32:22,Genesis 32:23-32:30,Genesis 32:31-33:5,Genesis 33:6-33:20,Genesis 33:18-33:20,Genesis 34:1-34:4,Genesis 34:5-34:12,Genesis 34:13-34:17,Genesis 34:18-34:23,Genesis 34:34-34:31,Genesis 35:1-35:11,Genesis 35:12-25:15,Genesis 35:12-25:15,Genesis 35:16-35:26,Genesis 35:27-35:29,Genesis 36:1-36:8,Genesis 36:9-36:19,Genesis 36:20-36:30,Genesis 36:31-36:39,Genesis 36:40-36:43,Genesis 36:40-36:43
Vayeshav,Genesis 37:1-37:3,Genesis 37:4-37:7,Genesis 37:8-37:11,Genesis 37:12-37:17,Genesis 37:18-37:22,Genesis 37:23-37:28,Genesis 37:29-37:36,Genesis 37:34-37:36,Genesis 38:1-38:5,Genesis 38:6-38:11,Genesis 38:12-28:14,Genesis 38:15-38:19,Genesis 38:20-38:23,Genesis 38:24-38:26,Genesis 38:27-38:30,Genesis 38:27-38:30,Genesis 39:1-39:6,Genesis 39:7-39:10,Genesis 39:11-39:18,Genesis 39:19-39:23,Genesis 40:1-40:8,Genesis 40:9-40:15,Genesis 40:16-40:23,Genesis 40:20-40:23
Miketz,Genesis 41:1-41:4,Genesis 41:5-41:7,Genesis 41:8-41:14,Genesis 41:15-41:24,Genesis 41:25-41:38,Genesis 41:39-41:43,Genesis 41:44-41:52,Genesis 41:50-41:52,Genesis 41:53-41:57,Genesis 42:1-42:5,Genesis 42:6-42:18,Genesis 42:19-42:28,Genesis 42:29-42:38,Genesis 43:1-43:7,Genesis 43:8-43:15,Genesis 43:11-43:15,Genesis 43:16-43:18,Genesis 43:19-43:25,Genesis 43:26-43:29,Genesis 43:30-43:34,Genesis 44:1-44:6,Genesis 44:7-44:10,Genesis 44:11-44:17,Genesis 44:15-44:17
